"year_date";"fed_min";"fed_min_2020_adjust"
"1968";1.15;8.55
"1969";1.15;8.11
"1970";1.3;8.67
"1971";1.3;8.3
"1972";1.6;9.9
"1973";1.6;9.32
"1974";1.6;8.39
"1975";1.6;7.69
"1976";2.2;10.0
"1977";2.2;9.39
"1978";2.2;8.73
"1979";2.9;10.33
"1980";3.1;9.73
"1981";3.35;9.53
"1982";3.35;8.98
"1983";3.35;8.7
"1984";3.35;8.34
"1985";3.35;8.05
"1986";3.35;7.91
"1987";3.35;7.63
"1988";3.35;7.32
"1989";3.35;6.99
"1990";3.35;6.63
"1991";3.8;7.22
"1992";4.25;7.84
"1993";4.25;7.61
"1994";4.25;7.42
"1995";4.25;7.21
"1996";4.25;7.01
"1997";4.75;7.66
"1998";5.15;8.17
"1999";5.15;8.0
"2000";5.15;7.74
"2001";5.15;7.52
"2002";5.15;7.4
"2003";5.15;7.24
"2004";5.15;7.05
"2005";5.15;6.82
"2006";5.15;6.61
"2007";5.15;6.42
"2008";5.85;7.03
"2009";6.55;7.9
"2010";7.25;8.6
"2011";7.25;8.34
"2012";7.25;8.17
"2013";7.25;8.05
"2014";7.25;7.92
"2015";7.25;7.91
"2016";7.25;7.81
"2017";7.25;7.65
"2018";7.25;7.47
"2019";7.25;7.34
"2020";7.25;7.25
